이름,카테고리,가격,단위
[KF365] 햇 감자 1kg,채소,3990,1kg
햇 양파 1.5kg,채소,3990,5kg
[KF365] 다다기오이 3입,채소,3990,3입
한통 양배추,채소,3990,기타
[KF365] 애호박 1개,채소,1590,1개
알배기 배추 1봉,채소,2990,1봉
[바름] 영암 친환경 꿀고구마 1.5kg,채소,6990,5kg
싱그러운 유러피안 샐러드믹스 2종,채소,3890,기타
[KF365] 파프리카 2입,채소,2390,2입
깐대파 500g,채소,2990,500g
[KF365] 브로콜리 1입,채소,3290,1입
[KF365] 무농약 국산콩 콩나물 300g,채소,1490,300g
친환경 당근 500g,채소,4490,500g
와일드 루꼴라 50g,채소,2511,50g
[KF365] 새송이버섯 400g,채소,2990,400g
[KF365] 팽이버섯 2입,채소,1490,2입
친환경 오이 2입,채소,2691,2입
[KF365] 친환경 표고버섯 300g,채소,3990,300g
[KF365] 햇 양파 1.8kg,채소,5490,8kg
[KF365] 무 1통,채소,2490,기타
천안 아우내 오이 5입,채소,4041,5입
[KF365] 청양고추 200g,채소,2390,200g
제주도 친환경 한통 양배추,채소,6290,기타
[KF365] 깐마늘 200g,채소,3990,200g
햇 양파 900g,채소,3990,900g
친환경 시금치 200g,채소,2990,200g
양상추 1입,채소,2190,1입
[KF365] 부추 200g,채소,1990,200g
조각 양배추 500g,채소,2990,500g
[KF365] 가지 2입,채소,2190,2입
한끼 감자 300g,채소,2990,300g
[KF365] 깻잎 30g,채소,1490,30g
[KF365] 흙대파 1단 850g,채소,2690,850g
청경채 300g,채소,2490,300g
[KF365] 호박고구마 800g,채소,5990,800g
더 달콤한 무농약 숙성 고구마 1.5kg,채소,7990,5kg
마늘 100% 다진마늘 500g,채소,7990,500g
[풀무원] 특등급 국산콩 무농약 콩나물 340g,채소,2590,340g
친환경 햇 양파 500g,채소,3141,500g
[풀무원] 다진마늘 2종,채소,5990,기타
[KF365] 참타리 버섯 200g,채소,990,200g
친환경 애호박 1개,채소,1990,1개
친환경 깐 양파 200g,채소,2990,200g
친환경 브로콜리 1개,채소,5490,1개
친환경 햇 양파 1kg,채소,4490,1kg
샐러드 채소믹스 1kg,채소,8890,1kg
파로(엠머밀)500g,채소,10900,500g
믹스 샐러드 4종,채소,3340,기타
[풀무원] SOGA 아삭숙주 350g,채소,1890,350g
한끼 깐마늘 100g,채소,2490,100g
깐마늘 1kg,채소,12510,1kg
경기 시금치 200g,채소,1990,200g
양송이버섯 140g,채소,3490,140g
친환경 감자 600g,채소,4990,600g
[KF365] 냉동 다진 마늘 300g,채소,6990,300g
깐쪽파 200g,채소,3990,200g
국내산 햇 마늘종 2종,채소,5290,기타
[KF365] 청상추 150g,채소,1790,150g
청도 미나리 300g,채소,4990,300g
[피그인더가든] 프레쉬믹스 베이직샐러드,채소,2190,기타
상주 흑침 오이 5입,채소,4490,5입
[KF365] 밤고구마 800g,채소,4491,800g
[제각각] 다다기오이 7입,채소,4990,7입
햇 양파 3kg,채소,7990,3kg
[김구원선생] 장수 콩나물 600g,채소,1990,600g
친환경 버터헤드레터스,채소,3390,기타
바로 데워먹는 야채찜1kg,채소,12290,1kg
친환경 양배추 슬라이스 300g,채소,3640,300g
친환경 깻잎 100g,채소,3990,100g
밀양 햇 흙당근 1kg,채소,3591,1kg
[바름팜] 친환경 채소믹스 샐러드 500g(250g*2봉),채소,6790,500g
한끼 당근,채소,2190,기타
채소믹스 500g,채소,5290,500g
GAP 장수 숙주나물 200g,채소,1490,200g
[KF365] 포기로메인 300g,채소,3390,300g
상추&깻잎 간편쌈 120g,채소,2990,120g
흙대파 1.2kg,채소,1990,2kg
감자 2kg,채소,10710,2kg
표고버섯 100g,채소,2990,100g
미나리 250g,채소,3990,250g
국산 완두콩 500g,채소,7990,500g
미니 파프리카 200g,채소,4990,200g
미니오이 5입,채소,2990,5입
[김구원선생] 무농약 숙주나물 200g,채소,2190,200g
파프리카 4입/봉,채소,5990,4입
친환경 손질한 잎몸 대파 200g,채소,3591,200g
한입 꿀고구마 1kg,채소,4990,1kg
친환경 조각 양배추 400g,채소,3490,400g
베이비 아스파라거스 100g,채소,5790,100g
[저스트그린] 데일리 샐러드 4종,채소,1776,기타
뉴질랜드 단호박 1통,채소,3990,기타
친환경 브라운 양송이 150g,채소,3990,150g
